,C,H,N,O,S,P,Intensity
705,16,18,0,8,0,0,11597860.666666666
706,16,18,0,9,0,0,18359823.666666668
707,16,18,0,10,0,0,24427140.666666668
708,16,18,0,11,0,0,22469142.333333332
709,16,18,0,12,0,0,14346508.333333334
722,16,20,0,7,0,0,7163207.333333333
723,16,20,0,8,0,0,12983661.333333334
724,16,20,0,9,0,0,18139581.333333332
725,16,20,0,10,0,0,19538928.333333332
726,16,20,0,11,0,0,13716252.0
735,16,22,0,8,0,0,9763543.333333334
736,16,22,0,9,0,0,10380675.333333334
737,16,22,0,10,0,0,8665092.666666666
740,17,14,0,10,0,0,10849601.333333334
741,17,14,0,11,0,0,12150783.0
742,17,14,0,12,0,0,11646730.666666666
743,17,14,0,13,0,0,8651590.333333334
746,17,15,1,10,0,0,5256119.666666667
747,17,15,1,11,0,0,3837475.3333333335
750,17,16,0,7,0,0,6463766.666666667
751,17,16,0,8,0,0,9866185.333333334
752,17,16,0,9,0,0,15557571.0
753,17,16,0,10,0,0,18659646.666666668
754,17,16,0,11,0,0,21408559.666666668
755,17,16,0,12,0,0,19430937.0
756,17,16,0,13,0,0,13843439.333333334
761,17,17,1,7,0,0,2397922.6666666665
762,17,17,1,8,0,0,4442234.333333333
763,17,17,1,9,0,0,5399373.666666667
764,17,17,1,10,0,0,5734480.333333333
765,17,17,1,11,0,0,4523335.333333333
767,17,18,0,6,0,0,3169207.6666666665
768,17,18,0,7,0,0,7472640.666666667
769,17,18,0,8,0,0,12980677.333333334
770,17,18,0,9,0,0,22437151.0
771,17,18,0,10,0,0,29577858.666666668
772,17,18,0,11,0,0,31400845.666666668
773,17,18,0,12,0,0,24051622.666666668
774,17,18,0,13,0,0,14026541.0
778,17,18,2,7,0,0,3657695.3333333335
779,17,18,2,8,0,0,4335620.333333333
780,17,18,2,9,0,0,4846269.333333333
783,17,19,1,7,0,0,2473335.6666666665
784,17,19,1,8,0,0,4456913.333333333
785,17,19,1,9,0,0,5496985.333333333
786,17,19,1,10,0,0,5295298.666666667
788,17,20,0,6,0,0,4129435.3333333335
789,17,20,0,7,0,0,9133150.0
790,17,20,0,8,0,0,17485112.666666668
791,17,20,0,9,0,0,29214339.333333332
792,17,20,0,10,0,0,34980106.0
793,17,20,0,11,0,0,29989823.666666668
794,17,20,0,12,0,0,17602145.0
799,17,20,2,8,0,0,3425964.0
