,C,H,N,O,S,P,Intensity
914,18,24,0,7,0,0,13633523.666666666
915,18,24,0,8,0,0,22286657.0
916,18,24,0,9,0,0,25833756.0
917,18,24,0,10,0,0,24611788.666666668
918,18,24,0,11,0,0,14360166.666666666
919,18,24,0,12,0,0,7591854.0
920,18,24,0,13,0,0,3961360.3333333335
921,18,25,1,7,0,0,2187247.3333333335
922,18,25,1,8,0,0,2338107.6666666665
923,18,25,1,9,0,0,2159383.6666666665
924,18,25,3,7,0,0,2935922.3333333335
925,18,26,0,5,0,0,3618887.3333333335
926,18,26,0,6,0,0,7486524.333333333
927,18,26,0,7,0,0,11116081.0
928,18,26,0,8,0,0,14176938.666666666
929,18,26,0,9,0,0,12874979.666666666
930,18,26,0,10,0,0,8802596.0
931,18,26,0,11,0,0,4217423.333333333
932,18,26,0,12,0,0,2331846.0
936,19,16,0,10,0,0,13599618.666666666
937,19,16,0,11,0,0,13377032.666666666
938,19,16,0,12,0,0,12942795.666666666
939,19,16,0,13,0,0,11814892.333333334
940,19,16,0,14,0,0,9394545.0
941,19,16,0,15,0,0,6325614.0
943,19,17,1,10,0,0,5165100.333333333
944,19,17,1,11,0,0,4993779.666666667
945,19,17,1,12,0,0,3611251.0
947,19,18,0,6,0,0,3708965.3333333335
948,19,18,0,7,0,0,8783225.0
949,19,18,0,8,0,0,15229604.333333334
950,19,18,0,9,0,0,21572604.333333332
951,19,18,0,10,0,0,22528800.666666668
952,19,18,0,11,0,0,21207470.333333332
953,19,18,0,12,0,0,20480883.666666668
954,19,18,0,13,0,0,17343890.333333332
955,19,18,0,14,0,0,13141233.0
956,19,18,0,15,0,0,8074565.666666667
957,19,18,0,16,0,0,4122027.3333333335
958,19,18,2,10,0,0,4104899.6666666665
959,19,18,2,11,0,0,3737168.6666666665
960,19,19,1,7,0,0,3105788.3333333335
961,19,19,1,8,0,0,4831125.666666667
962,19,19,1,9,0,0,6041439.0
963,19,19,1,10,0,0,5763383.666666667
964,19,19,1,11,0,0,5419170.0
965,19,19,1,12,0,0,4007615.0
966,19,19,1,13,0,0,2511495.0
968,19,20,0,6,0,0,5152520.0
969,19,20,0,7,0,0,12459689.666666666
970,19,20,0,8,0,0,20388873.666666668
971,19,20,0,9,0,0,33809608.333333336
972,19,20,0,10,0,0,33921675.333333336
