,C,H,N,O,S,P,Intensity
828,17,24,0,12,0,0,2439013.3333333335
829,18,14,0,12,0,0,9465599.333333334
830,18,14,0,13,0,0,7899336.0
831,18,14,0,14,0,0,5752891.666666667
832,18,14,0,15,0,0,3373975.6666666665
833,18,15,1,12,0,0,2948597.6666666665
834,18,16,0,8,0,0,11181719.333333334
835,18,16,0,9,0,0,14236662.666666666
836,18,16,0,10,0,0,17059683.333333332
837,18,16,0,11,0,0,17959554.333333332
838,18,16,0,12,0,0,16187357.0
839,18,16,0,13,0,0,14181309.0
840,18,16,0,14,0,0,9788908.666666666
841,18,16,0,15,0,0,5060049.333333333
842,18,16,0,16,0,0,2425970.3333333335
844,18,17,1,9,0,0,6031798.333333333
845,18,17,1,10,0,0,6482649.333333333
846,18,17,1,11,0,0,5006196.666666667
847,18,17,1,12,0,0,3542254.6666666665
848,18,17,1,13,0,0,2318441.3333333335
850,18,18,0,7,0,0,8672086.333333334
851,18,18,0,8,0,0,21789316.333333332
852,18,18,0,9,0,0,22157993.333333332
853,18,18,0,10,0,0,27240462.0
854,18,18,0,11,0,0,28277864.666666668
855,18,18,0,12,0,0,25493663.0
856,18,18,0,13,0,0,18404352.0
857,18,18,0,14,0,0,11082668.0
858,18,18,0,15,0,0,5014552.666666667
859,18,18,2,8,0,0,4746924.0
860,18,18,2,9,0,0,5527673.0
861,18,18,2,10,0,0,4381786.333333333
862,18,18,2,11,0,0,3464564.6666666665
864,18,19,1,8,0,0,4779528.0
865,18,19,1,9,0,0,6024135.333333333
866,18,19,1,10,0,0,6410795.666666667
867,18,19,1,11,0,0,4742211.333333333
868,18,19,1,12,0,0,3543520.0
873,18,20,0,8,0,0,26584021.0
874,18,20,0,9,0,0,31695867.666666668
875,18,20,0,10,0,0,38352361.0
876,18,20,0,11,0,0,36467573.666666664
877,18,20,0,12,0,0,28501661.0
878,18,20,0,13,0,0,17253439.0
879,18,20,0,14,0,0,7511761.333333333
880,18,20,0,15,0,0,2681623.6666666665
883,18,20,2,8,0,0,4360738.666666667
884,18,20,2,9,0,0,4729827.666666667
885,18,20,2,10,0,0,3885879.3333333335
886,18,20,2,11,0,0,2729406.6666666665
889,18,21,1,9,0,0,5352543.0
890,18,21,1,10,0,0,4639055.333333333
891,18,21,1,11,0,0,3702520.3333333335
895,18,22,0,7,0,0,12855765.0
896,18,22,0,8,0,0,24340444.666666668
897,18,22,0,9,0,0,33632916.333333336
898,18,22,0,10,0,0,38773659.0
899,18,22,0,11,0,0,31260589.333333332
900,18,22,0,12,0,0,19004548.666666668
901,18,22,0,13,0,0,8880593.666666666
902,18,22,0,14,0,0,3153588.6666666665
905,18,22,2,9,0,0,3101299.3333333335
906,18,22,2,10,0,0,2432675.0
909,18,23,1,9,0,0,3700432.3333333335
910,18,23,1,10,0,0,3251611.3333333335
914,18,24,0,7,0,0,13633523.666666666
915,18,24,0,8,0,0,22286657.0
916,18,24,0,9,0,0,25833756.0
917,18,24,0,10,0,0,24611788.666666668
918,18,24,0,11,0,0,14360166.666666666
919,18,24,0,12,0,0,7591854.0
920,18,24,0,13,0,0,3961360.3333333335
924,18,25,3,7,0,0,2935922.3333333335
925,18,26,0,5,0,0,3618887.3333333335
926,18,26,0,6,0,0,7486524.333333333
